Date : 2025-03-18 20:31:16
Directory : c:\Users\LWSte\Documents\GitHub\LifeFlowDring
Total : 193 files,  9367 codes, 607 comments, 2116 blanks, all 12090 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| HTML               |         66 |      4,128 |        218 |        814 |      5,160 |
| Python             |         28 |      2,117 |        277 |        664 |      3,058 |
| CSS                |         33 |      1,308 |         13 |        135 |      1,456 |
| JavaScript         |         40 |        913 |         53 |        246 |      1,212 |
| PHP                |         10 |        630 |         45 |        223 |        898 |
| XML                |          1 |        154 |          1 |          2 |        157 |
| Markdown           |          3 |         75 |          0 |         30 |        105 |
| JSON with Comments |          2 |         28 |          0 |          0 |         28 |
| JSON               |         10 |         14 |          0 |          2 |         16 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |        193 |      9,367 |        607 |      2,116 |     12,090 |
| . (Files)                                                                                                 |          1 |         49 |          0 |         16 |         65 |
| Interface                                                                                                 |          1 |         18 |          6 |          8 |         32 |
| life-flow-badge                                                                                           |         26 |      1,633 |        218 |        528 |      2,379 |
| life-flow-badge (Files)                                                                                   |          5 |        323 |         31 |        100 |        454 |
| life-flow-badge\examples                                                                                  |         13 |      1,302 |        187 |        428 |      1,917 |
| life-flow-badge\state                                                                                     |          8 |          8 |          0 |          0 |          8 |
| life-flow-main                                                                                            |        150 |      6,073 |        300 |      1,173 |      7,546 |
| life-flow-main (Files)                                                                                    |          7 |        225 |         12 |         61 |        298 |
| life-flow-main\GPIO                                                                                       |          1 |         60 |         13 |         18 |         91 |
| life-flow-main\backup                                                                                     |         72 |      2,749 |        147 |        511 |      3,407 |
| life-flow-main\backup (Files)                                                                             |          6 |        189 |         15 |         47 |        251 |
| life-flow-main\backup\GPIO                                                                                |          1 |         60 |         13 |         18 |         91 |
| life-flow-main\backup\web                                                                                 |         65 |      2,500 |        119 |        446 |      3,065 |
| life-flow-main\backup\web (Files)                                                                         |          6 |        150 |          3 |         40 |        193 |
| life-flow-main\backup\web\about                                                                           |          3 |         69 |          1 |          7 |         77 |
| life-flow-main\backup\web\emergency                                                                       |          5 |        129 |          2 |         13 |        144 |
| life-flow-main\backup\web\global                                                                          |          5 |        449 |         18 |         81 |        548 |
| life-flow-main\backup\web\global (Files)                                                                  |          3 |        244 |          9 |         31 |        284 |
| life-flow-main\backup\web\global\fade                                                                     |          1 |         11 |          0 |          2 |         13 |
| life-flow-main\backup\web\global\keyboard                                                                 |          1 |        194 |          9 |         48 |        251 |
| life-flow-main\backup\web\home                                                                            |          3 |         60 |          1 |         12 |         73 |
| life-flow-main\backup\web\register                                                                        |         12 |        500 |         14 |         90 |        604 |
| life-flow-main\backup\web\register (Files)                                                                |          4 |        151 |         13 |         22 |        186 |
| life-flow-main\backup\web\register\setup                                                                  |          8 |        349 |          1 |         68 |        418 |
| life-flow-main\backup\web\reminders                                                                       |          3 |         92 |          1 |          9 |        102 |
| life-flow-main\backup\web\sensor                                                                          |          7 |        364 |          4 |         51 |        419 |
| life-flow-main\backup\web\sensor (Files)                                                                  |          3 |        126 |          1 |         12 |        139 |
| life-flow-main\backup\web\sensor\module                                                                   |          4 |        238 |          3 |         39 |        280 |
| life-flow-main\backup\web\settings                                                                        |         21 |        687 |         75 |        143 |        905 |
| life-flow-main\backup\web\settings (Files)                                                                |          3 |         76 |          8 |         19 |        103 |
| life-flow-main\backup\web\settings\accessibility                                                          |          3 |         75 |          8 |         22 |        105 |
| life-flow-main\backup\web\settings\contacts                                                               |          6 |        230 |         25 |         40 |        295 |
| life-flow-main\backup\web\settings\general                                                                |          3 |         78 |          8 |         22 |        108 |
| life-flow-main\backup\web\settings\info                                                                   |          6 |        228 |         26 |         40 |        294 |
| life-flow-main\web                                                                                        |         70 |      3,039 |        128 |        583 |      3,750 |
| life-flow-main\web (Files)                                                                                |          6 |        170 |          3 |         45 |        218 |
| life-flow-main\web\about                                                                                  |          3 |         75 |          1 |         14 |         90 |
| life-flow-main\web\emergency                                                                              |          5 |        143 |          2 |         17 |        162 |
| life-flow-main\web\global                                                                                 |          5 |        490 |         18 |         89 |        597 |
| life-flow-main\web\global (Files)                                                                         |          3 |        285 |          9 |         39 |        333 |
| life-flow-main\web\global\fade                                                                            |          1 |         11 |          0 |          2 |         13 |
| life-flow-main\web\global\keyboard                                                                        |          1 |        194 |          9 |         48 |        251 |
| life-flow-main\web\home                                                                                   |          3 |         67 |          1 |         14 |         82 |
| life-flow-main\web\register                                                                               |         12 |        556 |         14 |        106 |        676 |
| life-flow-main\web\register (Files)                                                                       |          4 |        165 |         13 |         26 |        204 |
| life-flow-main\web\register\setup                                                                         |          8 |        391 |          1 |         80 |        472 |
| life-flow-main\web\reminders                                                                              |          7 |        338 |          3 |         65 |        406 |
| life-flow-main\web\reminders (Files)                                                                      |          3 |        140 |          1 |         23 |        164 |
| life-flow-main\web\reminders\sub                                                                          |          4 |        198 |          2 |         42 |        242 |
| life-flow-main\web\sensor                                                                                 |          8 |        436 |         11 |         68 |        515 |
| life-flow-main\web\sensor (Files)                                                                         |          3 |        161 |          2 |         23 |        186 |
| life-flow-main\web\sensor\module                                                                          |          5 |        275 |          9 |         45 |        329 |
| life-flow-main\web\settings                                                                               |         21 |        764 |         75 |        165 |      1,004 |
| life-flow-main\web\settings (Files)                                                                       |          3 |         83 |          8 |         21 |        112 |
| life-flow-main\web\settings\accessibility                                                                 |          3 |         82 |          8 |         24 |        114 |
| life-flow-main\web\settings\contacts                                                                      |          6 |        258 |         25 |         48 |        331 |
| life-flow-main\web\settings\general                                                                       |          3 |         85 |          8 |         24 |        117 |
| life-flow-main\web\settings\info                                                                          |          6 |        256 |         26 |         48 |        330 |
| life-flow-staff-portal                                                                                    |         15 |      1,594 |         83 |        391 |      2,068 |
| life-flow-staff-portal (Files)                                                                            |          7 |        833 |         46 |        185 |      1,064 |
| life-flow-staff-portal\apache                                                                             |          1 |        279 |         18 |         72 |        369 |
| life-flow-staff-portal\badges                                                                             |          1 |         70 |          4 |         30 |        104 |
| life-flow-staff-portal\hubs                                                                               |          1 |         70 |          4 |         30 |        104 |
| life-flow-staff-portal\images                                                                             |          1 |        154 |          1 |          2 |        157 |
| life-flow-staff-portal\incidents                                                                          |          3 |        117 |          5 |         41 |        163 |
| life-flow-staff-portal\incidents (Files)                                                                  |          1 |         74 |          5 |         34 |        113 |
| life-flow-staff-portal\incidents\create                                                                   |          2 |         43 |          0 |          7 |         50 |
| life-flow-staff-portal\residents                                                                          |          1 |         71 |          5 |         31 |        107 |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                  | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\Interface\main.py                                           | Python             |         18 |          6 |          8 |         32 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\README.md                                                   | Markdown           |         49 |          0 |         16 |         65 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\WIFI_CONFIG.py                              | Python             |          4 |          0 |          1 |          5 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\accelerometer.py                            | Python             |         30 |          8 |         12 |         50 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\badge.py                           | Python             |         98 |         33 |         39 |        170 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\clock.py                           | Python             |        163 |          3 |         58 |        224 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\ebook.py                           | Python             |        159 |         40 |         50 |        249 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\emergency.py                       | Python             |         60 |          5 |         26 |         91 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\fonts.py                           | Python             |         86 |         18 |         31 |        135 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\help.py                            | Python             |         30 |          3 |         10 |         43 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\image.py                           | Python             |         70 |          5 |         28 |        103 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\info.py                            | Python             |         32 |          3 |         11 |         46 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\list.py                            | Python             |        220 |         37 |         60 |        317 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\net_info.py                        | Python             |         35 |          5 |         10 |         50 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\news.py                            | Python             |        155 |         12 |         48 |        215 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\qrgen.py                           | Python             |        124 |          8 |         34 |        166 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\weather.py                         | Python             |         70 |         15 |         23 |        108 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\launcher.py                                 | Python             |        144 |          5 |         43 |        192 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\main.py                                     | Python             |          1 |          1 |          0 |          2 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\ebook.json                            | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\fall_detection.json                   | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\fonts.json                            | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\image.json                            | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\launcher.json                         | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\list.json                             | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\news.json                             | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\qrcodes.json                          | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\test.py                                     | Python             |        144 |         17 |         44 |        205 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\GPIO\gpio.py                                 | Python             |         60 |         13 |         18 |         91 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\README.md                                    | Markdown           |         24 |          0 |         12 |         36 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\Sensor_Temperature.py                        | Python             |         17 |          0 |          7 |         24 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\GPIO\gpio.py                          | Python             |         60 |         13 |         18 |         91 |
| c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-main\backup\README.md                             | Markdown           |          2 |          0 |          2 |          4 |
