"filename", "language", "PHP", "Python", "JSON with Comments", "HTML", "Markdown", "JSON", "CSS", "JavaScript", "Java", "XML", "Batch", "Properties", "comment", "blank", "total"
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\Interface\main.py", "Python", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 32
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\README.md", "Markdown", 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 24, 135
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\WIFI_CONFIG.py", "Python", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\accelerometer.py", "Python", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 50
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\badge.py", "Python", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 39, 170
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\clock.py", "Python", 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 58, 224
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\ebook.py", "Python", 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 50, 249
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\emergency.py", "Python", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26, 91
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\fonts.py", "Python", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 31, 135
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\help.py", "Python", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 43
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\image.py", "Python", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28, 103
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\info.py", "Python", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 46
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\list.py", "Python", 0, 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 60, 317
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\net_info.py", "Python", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 50
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\news.py", "Python", 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 48, 215
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\qrgen.py", "Python", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 34, 166
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\examples\weather.py", "Python", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 23, 108
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\launcher.py", "Python", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43, 192
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\main.py", "Python", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\ebook.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\fall_detection.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\fonts.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\image.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\launcher.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\list.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\news.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\state\qrcodes.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\LWSte\Documents\GitHub\LifeFlowDring\life-flow-badge\test.py", "Python", 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 44, 205
